PassageiroID,Classe,Sexo,Idade,IrmaoConj,PaiFilho,Tarifa,Embarque,Survived
892,3,0,34.5,0,0,7.8292,Q,0
893,3,1,47,1,0,7,S,1
894,2,0,62,0,0,9.6875,Q,0
895,3,0,27,0,0,8.6625,S,0
896,3,1,22,1,1,12.2875,S,1
897,3,0,14,0,0,9.225,S,0
898,3,1,30,0,0,7.6292,Q,1
899,2,0,26,1,1,29,S,0
900,3,1,18,0,0,7.2292,C,1
901,3,0,21,2,0,24.15,S,0
902,3,0,,0,0,7.8958,S,0
903,1,0,46,0,0,26,S,0
904,1,1,23,1,0,82.2667,S,1
905,2,0,63,1,0,26,S,0
906,1,1,47,1,0,61.175,S,1
907,2,1,24,1,0,27.7208,C,1
908,2,0,35,0,0,12.35,Q,0
909,3,0,21,0,0,7.225,C,0
910,3,1,27,1,0,7.925,S,1
911,3,1,45,0,0,7.225,C,1
912,1,0,55,1,0,59.4,C,0
913,3,0,9,0,1,3.1708,S,0
914,1,1,,0,0,31.6833,S,1
915,1,0,21,0,1,61.3792,C,0
916,1,1,48,1,3,262.375,C,1
917,3,0,50,1,0,14.5,S,0
918,1,1,22,0,1,61.9792,C,1
919,3,0,22.5,0,0,7.225,C,0
920,1,0,41,0,0,30.5,S,0
921,3,0,,2,0,21.6792,C,0
922,2,0,50,1,0,26,S,0
923,2,0,24,2,0,31.5,S,0
924,3,1,33,1,2,20.575,S,1
925,3,1,,1,2,23.45,S,1
926,1,0,30,1,0,57.75,C,0
927,3,0,18.5,0,0,7.2292,C,0
928,3,1,,0,0,8.05,S,1
929,3,1,21,0,0,8.6625,S,1
930,3,0,25,0,0,9.5,S,0
931,3,0,,0,0,56.4958,S,0
932,3,0,39,0,1,13.4167,C,0
933,1,0,,0,0,26.55,S,0
934,3,0,41,0,0,7.85,S,0
935,2,1,30,0,0,13,S,1
936,1,1,45,1,0,52.5542,S,1
937,3,0,25,0,0,7.925,S,0
938,1,0,45,0,0,29.7,C,0
939,3,0,,0,0,7.75,Q,0
940,1,1,60,0,0,76.2917,C,1
941,3,1,36,0,2,15.9,S,1
942,1,0,24,1,0,60,S,0
943,2,0,27,0,0,15.0333,C,0
944,2,1,20,2,1,23,S,1
945,1,1,28,3,2,263,S,1
946,2,0,,0,0,15.5792,C,0
947,3,0,10,4,1,29.125,Q,0
948,3,0,35,0,0,7.8958,S,0
949,3,0,25,0,0,7.65,S,0
950,3,0,,1,0,16.1,S,0
951,1,1,36,0,0,262.375,C,1
952,3,0,17,0,0,7.8958,S,0
953,2,0,32,0,0,13.5,S,0
954,3,0,18,0,0,7.75,S,0
955,3,1,22,0,0,7.725,Q,1
956,1,0,13,2,2,262.375,C,0
957,2,1,,0,0,21,S,1
958,3,1,18,0,0,7.8792,Q,1
959,1,0,47,0,0,42.4,S,0
960,1,0,31,0,0,28.5375,C,0
961,1,1,60,1,4,263,S,1
962,3,1,24,0,0,7.75,Q,1
963,3,0,21,0,0,7.8958,S,0
964,3,1,29,0,0,7.925,S,1
965,1,0,28.5,0,0,27.7208,C,0
966,1,1,35,0,0,211.5,C,1
967,1,0,32.5,0,0,211.5,C,0
968,3,0,,0,0,8.05,S,0
969,1,1,55,2,0,25.7,S,1
970,2,0,30,0,0,13,S,0
971,3,1,24,0,0,7.75,Q,1
972,3,0,6,1,1,15.2458,C,0
973,1,0,67,1,0,221.7792,S,0
974,1,0,49,0,0,26,S,0
975,3,0,,0,0,7.8958,S,0
976,2,0,,0,0,10.7083,Q,0
977,3,0,,1,0,14.4542,C,0
978,3,1,27,0,0,7.8792,Q,1
979,3,1,18,0,0,8.05,S,1
980,3,1,,0,0,7.75,Q,1
981,2,0,2,1,1,23,S,0
982,3,1,22,1,0,13.9,S,1
983,3,0,,0,0,7.775,S,0
984,1,1,27,1,2,52,S,1
985,3,0,,0,0,8.05,S,0
986,1,0,25,0,0,26,C,0
987,3,0,25,0,0,7.7958,S,0
988,1,1,76,1,0,78.85,S,1
989,3,0,29,0,0,7.925,S,0
990,3,1,20,0,0,7.8542,S,1
991,3,0,33,0,0,8.05,S,0
992,1,1,43,1,0,55.4417,C,1
993,2,0,27,1,0,26,S,0
994,3,0,,0,0,7.75,Q,0
995,3,0,26,0,0,7.775,S,0
996,3,1,16,1,1,8.5167,C,1
997,3,0,28,0,0,22.525,S,0
998,3,0,21,0,0,7.8208,Q,0
999,3,0,,0,0,7.75,Q,0
1000,3,0,,0,0,8.7125,S,0
1001,2,0,18.5,0,0,13,S,0
1002,2,0,41,0,0,15.0458,C,0
1003,3,1,,0,0,7.7792,Q,1
1004,1,1,36,0,0,31.6792,C,1
1005,3,1,18.5,0,0,7.2833,Q,1
1006,1,1,63,1,0,221.7792,S,1
1007,3,0,18,1,0,14.4542,C,0
1008,3,0,,0,0,6.4375,C,0
1009,3,1,1,1,1,16.7,S,1
1010,1,0,36,0,0,75.2417,C,0
1011,2,1,29,1,0,26,S,1
1012,2,1,12,0,0,15.75,S,1
1013,3,0,,1,0,7.75,Q,0
1014,1,1,35,1,0,57.75,C,1
1015,3,0,28,0,0,7.25,S,0
1016,3,0,,0,0,7.75,Q,0
1017,3,1,17,0,1,16.1,S,1
1018,3,0,22,0,0,7.7958,S,0
1019,3,1,,2,0,23.25,Q,1
1020,2,0,42,0,0,13,S,0
1021,3,0,24,0,0,8.05,S,0
1022,3,0,32,0,0,8.05,S,0
1023,1,0,53,0,0,28.5,C,0
1024,3,1,,0,4,25.4667,S,1
1025,3,0,,1,0,6.4375,C,0
1026,3,0,43,0,0,7.8958,S,0
1027,3,0,24,0,0,7.8542,S,0
1028,3,0,26.5,0,0,7.225,C,0
1029,2,0,26,0,0,13,S,0
1030,3,1,23,0,0,8.05,S,1
1031,3,0,40,1,6,46.9,S,0
1032,3,1,10,5,2,46.9,S,1
1033,1,1,33,0,0,151.55,S,1
1034,1,0,61,1,3,262.375,C,0
1035,2,0,28,0,0,26,S,0
1036,1,0,42,0,0,26.55,S,0
1037,3,0,31,3,0,18,S,0
1038,1,0,,0,0,51.8625,S,0
1039,3,0,22,0,0,8.05,S,0
1040,1,0,,0,0,26.55,S,0
1041,2,0,30,1,1,26,S,0
1042,1,1,23,0,1,83.1583,C,1
1043,3,0,,0,0,7.8958,C,0
1044,3,0,60.5,0,0,,S,0
1045,3,1,36,0,2,12.1833,S,1
1046,3,0,13,4,2,31.3875,S,0
1047,3,0,24,0,0,7.55,S,0
1048,1,1,29,0,0,221.7792,S,1
1049,3,1,23,0,0,7.8542,S,1
1050,1,0,42,0,0,26.55,S,0
1051,3,1,26,0,2,13.775,S,1
1052,3,1,,0,0,7.7333,Q,1
1053,3,0,7,1,1,15.2458,C,0
1054,2,1,26,0,0,13.5,S,1
1055,3,0,,0,0,7,S,0
1056,2,0,41,0,0,13,S,0
1057,3,1,26,1,1,22.025,S,1
1058,1,0,48,0,0,50.4958,C,0
1059,3,0,18,2,2,34.375,S,0
1060,1,1,,0,0,27.7208,C,1
1061,3,1,22,0,0,8.9625,S,1
1062,3,0,,0,0,7.55,S,0
1063,3,0,27,0,0,7.225,C,0
1064,3,0,23,1,0,13.9,S,0
1065,3,0,,0,0,7.2292,C,0
1066,3,0,40,1,5,31.3875,S,0
1067,2,1,15,0,2,39,S,1
1068,2,1,20,0,0,36.75,S,1
1069,1,0,54,1,0,55.4417,C,0
1070,2,1,36,0,3,39,S,1
1071,1,1,64,0,2,83.1583,C,1
1072,2,0,30,0,0,13,S,0
1073,1,0,37,1,1,83.1583,C,0
1074,1,1,18,1,0,53.1,S,1
1075,3,0,,0,0,7.75,Q,0
1076,1,1,27,1,1,247.5208,C,1
1077,2,0,40,0,0,16,S,0
1078,2,1,21,0,1,21,S,1
1079,3,0,17,2,0,8.05,S,0
1080,3,1,,8,2,69.55,S,1
1081,2,0,40,0,0,13,S,0
1082,2,0,34,1,0,26,S,0
1083,1,0,,0,0,26,S,0
1084,3,0,11.5,1,1,14.5,S,0
1085,2,0,61,0,0,12.35,Q,0
1086,2,0,8,0,2,32.5,S,0
1087,3,0,33,0,0,7.8542,S,0
1088,1,0,6,0,2,134.5,C,0
1089,3,1,18,0,0,7.775,S,1
1090,2,0,23,0,0,10.5,S,0
1091,3,1,,0,0,8.1125,S,1
1092,3,1,,0,0,15.5,Q,1
1093,3,0,0.33,0,2,14.4,S,0
1094,1,0,47,1,0,227.525,C,0
1095,2,1,8,1,1,26,S,1
1096,2,0,25,0,0,10.5,S,0
1097,1,0,,0,0,25.7417,C,0
1098,3,1,35,0,0,7.75,Q,1
1099,2,0,24,0,0,10.5,S,0
1100,1,1,33,0,0,27.7208,C,1
1101,3,0,25,0,0,7.8958,S,0
1102,3,0,32,0,0,22.525,S,0
1103,3,0,,0,0,7.05,S,0
1104,2,0,17,0,0,73.5,S,0
1105,2,1,60,1,0,26,S,1
1106,3,1,38,4,2,7.775,S,1
1107,1,0,42,0,0,42.5,S,0
1108,3,1,,0,0,7.8792,Q,1
1109,1,0,57,1,1,164.8667,S,0
1110,1,1,50,1,1,211.5,C,1
1111,3,0,,0,0,8.05,S,0
1112,2,1,30,1,0,13.8583,C,1
1113,3,0,21,0,0,8.05,S,0
1114,2,1,22,0,0,10.5,S,1
1115,3,0,21,0,0,7.7958,S,0
1116,1,1,53,0,0,27.4458,C,1
1117,3,1,,0,2,15.2458,C,1
1118,3,0,23,0,0,7.7958,S,0
1119,3,1,,0,0,7.75,Q,1
1120,3,0,40.5,0,0,15.1,S,0
1121,2,0,36,0,0,13,S,0
1122,2,0,14,0,0,65,S,0
1123,1,1,21,0,0,26.55,S,1
1124,3,0,21,1,0,6.4958,S,0
1125,3,0,,0,0,7.8792,Q,0
1126,1,0,39,1,0,71.2833,C,0
1127,3,0,20,0,0,7.8542,S,0
1128,1,0,64,1,0,75.25,C,0
1129,3,0,20,0,0,7.225,C,0
1130,2,1,18,1,1,13,S,1
1131,1,1,48,1,0,106.425,C,1
1132,1,1,55,0,0,27.7208,C,1
1133,2,1,45,0,2,30,S,1
1134,1,0,45,1,1,134.5,C,0
1135,3,0,,0,0,7.8875,S,0
1136,3,0,,1,2,23.45,S,0
1137,1,0,41,1,0,51.8625,S,0
1138,2,1,22,0,0,21,S,1
1139,2,0,42,1,1,32.5,S,0
1140,2,1,29,1,0,26,S,1
1141,3,1,,1,0,14.4542,C,1
1142,2,1,0.92,1,2,27.75,S,1
1143,3,0,20,0,0,7.925,S,0
1144,1,0,27,1,0,136.7792,C,0
1145,3,0,24,0,0,9.325,S,0
1146,3,0,32.5,0,0,9.5,S,0
1147,3,0,,0,0,7.55,S,0
1148,3,0,,0,0,7.75,Q,0
1149,3,0,28,0,0,8.05,S,0
1150,2,1,19,0,0,13,S,1
1151,3,0,21,0,0,7.775,S,0
1152,3,0,36.5,1,0,17.4,S,0
1153,3,0,21,0,0,7.8542,S,0
1154,2,1,29,0,2,23,S,1
1155,3,1,1,1,1,12.1833,S,1
1156,2,0,30,0,0,12.7375,C,0
1157,3,0,,0,0,7.8958,S,0
1158,1,0,,0,0,0,S,0
1159,3,0,,0,0,7.55,S,0
1160,3,1,,0,0,8.05,S,1
1161,3,0,17,0,0,8.6625,S,0
1162,1,0,46,0,0,75.2417,C,0
1163,3,0,,0,0,7.75,Q,0
1164,1,1,26,1,0,136.7792,C,1
1165,3,1,,1,0,15.5,Q,1
1166,3,0,,0,0,7.225,C,0
1167,2,1,20,1,0,26,S,1
1168,2,0,28,0,0,10.5,S,0
1169,2,0,40,1,0,26,S,0
1170,2,0,30,1,0,21,S,0
1171,2,0,22,0,0,10.5,S,0
1172,3,1,23,0,0,8.6625,S,1
1173,3,0,0.75,1,1,13.775,S,0
1174,3,1,,0,0,7.75,Q,1
1175,3,1,9,1,1,15.2458,C,1
1176,3,1,2,1,1,20.2125,S,1
1177,3,0,36,0,0,7.25,S,0
1178,3,0,,0,0,7.25,S,0
1179,1,0,24,1,0,82.2667,S,0
1180,3,0,,0,0,7.2292,C,0
1181,3,0,,0,0,8.05,S,0
1182,1,0,,0,0,39.6,S,0
1183,3,1,30,0,0,6.95,Q,1
1184,3,0,,0,0,7.2292,C,0
1185,1,0,53,1,1,81.8583,S,0
1186,3,0,36,0,0,9.5,S,0
1187,3,0,26,0,0,7.8958,S,0
1188,2,1,1,1,2,41.5792,C,1
1189,3,0,,2,0,21.6792,C,0
1190,1,0,30,0,0,45.5,S,0
1191,3,0,29,0,0,7.8542,S,0
1192,3,0,32,0,0,7.775,S,0
1193,2,0,,0,0,15.0458,C,0
1194,2,0,43,0,1,21,S,0
1195,3,0,24,0,0,8.6625,S,0
1196,3,1,,0,0,7.75,Q,1
1197,1,1,64,1,1,26.55,S,1
1198,1,0,30,1,2,151.55,S,0
1199,3,0,0.83,0,1,9.35,S,0
1200,1,0,55,1,1,93.5,S,0
1201,3,1,45,1,0,14.1083,S,1
1202,3,0,18,0,0,8.6625,S,0
1203,3,0,22,0,0,7.225,C,0
1204,3,0,,0,0,7.575,S,0
1205,3,1,37,0,0,7.75,Q,1
1206,1,1,55,0,0,135.6333,C,1
1207,3,1,17,0,0,7.7333,Q,1
1208,1,0,57,1,0,146.5208,C,0
1209,2,0,19,0,0,10.5,S,0
1210,3,0,27,0,0,7.8542,S,0
1211,2,0,22,2,0,31.5,S,0
1212,3,0,26,0,0,7.775,S,0
1213,3,0,25,0,0,7.2292,C,0
1214,2,0,26,0,0,13,S,0
1215,1,0,33,0,0,26.55,S,0
1216,1,1,39,0,0,211.3375,S,1
1217,3,0,23,0,0,7.05,S,0
1218,2,1,12,2,1,39,S,1
1219,1,0,46,0,0,79.2,C,0
1220,2,0,29,1,0,26,S,0
1221,2,0,21,0,0,13,S,0
1222,2,1,48,0,2,36.75,S,1
1223,1,0,39,0,0,29.7,C,0
1224,3,0,,0,0,7.225,C,0
1225,3,1,19,1,1,15.7417,C,1
1226,3,0,27,0,0,7.8958,S,0
1227,1,0,30,0,0,26,S,0
1228,2,0,32,0,0,13,S,0
1229,3,0,39,0,2,7.2292,C,0
1230,2,0,25,0,0,31.5,S,0
1231,3,0,,0,0,7.2292,C,0
1232,2,0,18,0,0,10.5,S,0
1233,3,0,32,0,0,7.5792,S,0
1234,3,0,,1,9,69.55,S,0
1235,1,1,58,0,1,512.3292,C,1
1236,3,0,,1,1,14.5,S,0
1237,3,1,16,0,0,7.65,S,1
1238,2,0,26,0,0,13,S,0
1239,3,1,38,0,0,7.2292,C,1
1240,2,0,24,0,0,13.5,S,0
1241,2,1,31,0,0,21,S,1
1242,1,1,45,0,1,63.3583,C,1
1243,2,0,25,0,0,10.5,S,0
1244,2,0,18,0,0,73.5,S,0
1245,2,0,49,1,2,65,S,0
1246,3,1,0.17,1,2,20.575,S,1
1247,1,0,50,0,0,26,S,0
1248,1,1,59,2,0,51.4792,S,1
1249,3,0,,0,0,7.8792,S,0
1250,3,0,,0,0,7.75,Q,0
1251,3,1,30,1,0,15.55,S,1
1252,3,0,14.5,8,2,69.55,S,0
1253,2,1,24,1,1,37.0042,C,1
1254,2,1,31,0,0,21,S,1
1255,3,0,27,0,0,8.6625,S,0
1256,1,1,25,1,0,55.4417,C,1
1257,3,1,,1,9,69.55,S,1
1258,3,0,,1,0,14.4583,C,0
1259,3,1,22,0,0,39.6875,S,1
1260,1,1,45,0,1,59.4,C,1
1261,2,0,29,0,0,13.8583,C,0
1262,2,0,21,1,0,11.5,S,0
1263,1,1,31,0,0,134.5,C,1
1264,1,0,49,0,0,0,S,0
1265,2,0,44,0,0,13,S,0
1266,1,1,54,1,1,81.8583,S,1
1267,1,1,45,0,0,262.375,C,1
1268,3,1,22,2,0,8.6625,S,1
1269,2,0,21,0,0,11.5,S,0
1270,1,0,55,0,0,50,S,0
1271,3,0,5,4,2,31.3875,S,0
1272,3,0,,0,0,7.75,Q,0
1273,3,0,26,0,0,7.8792,Q,0
1274,3,1,,0,0,14.5,S,1
1275,3,1,19,1,0,16.1,S,1
1276,2,0,,0,0,12.875,S,0
1277,2,1,24,1,2,65,S,1
1278,3,0,24,0,0,7.775,S,0
1279,2,0,57,0,0,13,S,0
1280,3,0,21,0,0,7.75,Q,0
1281,3,0,6,3,1,21.075,S,0
1282,1,0,23,0,0,93.5,S,0
1283,1,1,51,0,1,39.4,S,1
1284,3,0,13,0,2,20.25,S,0
1285,2,0,47,0,0,10.5,S,0
1286,3,0,29,3,1,22.025,S,0
1287,1,1,18,1,0,60,S,1
1288,3,0,24,0,0,7.25,Q,0
1289,1,1,48,1,1,79.2,C,1
1290,3,0,22,0,0,7.775,S,0
1291,3,0,31,0,0,7.7333,Q,0
1292,1,1,30,0,0,164.8667,S,1
1293,2,0,38,1,0,21,S,0
1294,1,1,22,0,1,59.4,C,1
1295,1,0,17,0,0,47.1,S,0
1296,1,0,43,1,0,27.7208,C,0
1297,2,0,20,0,0,13.8625,C,0
1298,2,0,23,1,0,10.5,S,0
1299,1,0,50,1,1,211.5,C,0
1300,3,1,,0,0,7.7208,Q,1
1301,3,1,3,1,1,13.775,S,1
1302,3,1,,0,0,7.75,Q,1
1303,1,1,37,1,0,90,Q,1
1304,3,1,28,0,0,7.775,S,1
1305,3,0,,0,0,8.05,S,0
1306,1,1,39,0,0,108.9,C,1
1307,3,0,38.5,0,0,7.25,S,0
1308,3,0,,0,0,8.05,S,0
1309,3,0,,1,1,22.3583,C,0